book_id,title,author,genres
47,The Book Thief,Markus Zusak,"historical-fiction, fiction, young-adult, book-club, ya"
48,Fahrenheit 451,Ray Bradbury,"classics, fiction, science-fiction, sci-fi, dystopia"
49,"New Moon (Twilight, #2)",Stephenie Meyer,"young-adult, fantasy, romance, vampires, ya"
50,Where the Sidewalk Ends,Shel Silverstein,"poetry, childrens, children, classics, children-s"
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"young-adult, paranormal, romance, urban-fantasy, series"
52,"Eclipse (Twilight, #3)",Stephenie Meyer,"young-adult, fantasy, romance, vampires, ya"
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"fantasy, young-adult, fiction, ya, dragons"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"science-fiction, sci-fi, fiction, humor, fantasy"
55,Brave New World,Aldous Huxley,"classics, fiction, science-fiction, sci-fi, dystopia"
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,"fantasy, young-adult, sci-fi-fantasy, my-library, contemporary"
57,The Secret Life of Bees,Sue Monk Kidd,"fiction, historical-fiction, book-club, young-adult, adult-fiction"
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell","classics, fiction, classic, historical-fiction, literature"
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells","classics, childrens, fiction, children, children-s"
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"fiction, young-adult, classics, audio, book-club"
61,The Girl on the Train,Paula Hawkins,"mystery, fiction, thriller, book-club, read-in-2015"
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"fantasy, young-adult, fiction, ya, series"
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn","classics, fiction, classic, romance, literature"
64,My Sister's Keeper,Jodi Picoult,"fiction, jodi-picoult, contemporary, chick-lit, book-club"
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,"classics, fiction, science-fiction, sci-fi, classic"
66,Gone with the Wind,Margaret Mitchell,"classics, historical-fiction, fiction, romance, classic"
67,A Thousand Splendid Suns,Khaled Hosseini,"fiction, historical-fiction, book-club, favourites, afghanistan"
68,The Perks of Being a Wallflower,Stephen Chbosky,"fiction, ya, contemporary, favourites, coming-of-age"
69,"Insurgent (Divergent, #2)",Veronica Roth,"young-adult, dystopian, dystopia, ya, fiction"
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"science-fiction, sci-fi, fiction, young-adult, fantasy"
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","classics, fiction, horror, sci-fi, gothic"
72,The Shining (The Shining #1),Stephen King,"fiction, fantasy, king, mystery, supernatural"
73,"The Host (The Host, #1)",Stephenie Meyer,"sci-fi, science-fiction, fiction, dystopian, ya"
74,Looking for Alaska,John Green,"young-adult, ya, fiction, contemporary, romance"
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,"chick-lit, fiction, romance, humor, contemporary"
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster","fiction, historical-fiction, literature, classic-literature, 19th-century"
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar","young-adult, fiction, ya, childrens, childhood"
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,"chick-lit, fiction, contemporary, chicklit, romance"
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","classics, fiction, poetry, classic, mythology"
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta","fantasy, childrens, children, classic, french"
81,The Glass Castle,Jeannette Walls,"non-fiction, memoir, book-club, nonfiction, memoirs"
82,Into the Wild,Jon Krakauer,"non-fiction, nonfiction, biography, adventure, travel"
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne","classics, fiction, classic, historical-fiction, literature"
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"science-fiction, fiction, sci-fi, thriller, adventure"
85,The Giving Tree,Shel Silverstein,"childrens, children, children-s-books, children-s, classics"
86,A Time to Kill,John Grisham,"fiction, mystery, thriller, john-grisham, crime"
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel","non-fiction, classics, history, nonfiction, school"
88,Paper Towns,John Green,"young-adult, john-green, favourites, ya, contemporary"
89,The Princess Bride ,William Goldman,"favourites, to-buy, sci-fi-fantasy, ya, all-time-favorites"
90,The Outsiders,S.E. Hinton,"fiction, ya, classics, school, classic"
91,"The Maze Runner (Maze Runner, #1)",James Dashner,"young-adult, dystopian, dystopia, ya, science-fiction"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner","nonfiction, science, non-fiction, psychology, sociology"
93,The Secret Garden,Frances Hodgson Burnett,"classics, fiction, childrens, classic, children"
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa","classics, literature, classic, novels, favourites"
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides","classics, fiction, classic, horror, fantasy"
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"erotica, fiction, series, bdsm, adult"
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal","classics, horror, fiction, fantasy, classic"
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland","fiction, mystery, crime, suspense, mystery-thriller"
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,"romance, guilty-pleasure, favs, billionaire"
100,The Poisonwood Bible,Barbara Kingsolver,"historical-fiction, fiction, book-club, classics, literature"
101,Me Talk Pretty One Day,David Sedaris,"humor, non-fiction, memoir, nonfiction, essays"
102,Where the Wild Things Are,Maurice Sendak,"childrens, picture-books, children, children-s-books, children-s"
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss","classics, fiction, classic, historical-fiction, adventure"
104,The Road,Cormac McCarthy,"science-fiction, dystopia, dystopian, fiction, sci-fi"
105,"Allegiant (Divergent, #3)",Veronica Roth,"young-adult, dystopian, dystopia, ya, fiction"
106,Bossypants,Tina Fey,"non-fiction, humor, memoir, nonfiction, biography"
107,A Walk to Remember,Nicholas Sparks,"adult, drama, adult-fiction, love, favourites"
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,"sophie-kinsella, chic-lit, funny, adult-fiction, contemporary-romance"
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee","classics, fiction, historical-fiction, classic, literature"
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"fantasy, fiction, series, epic-fantasy, sci-fi-fantasy"
111,The Memory Keeper's Daughter,Kim Edwards,"fiction, book-club, contemporary, adult-fiction, adult"
112,"Me Before You (Me Before You, #1)",Jojo Moyes,"romance, read-in-2015, audiobooks, fiction, read-in-2014"
113,Catch-22,Joseph Heller,"classics, fiction, classic, war, humor"
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys","non-fiction, fiction, nonfiction, memoir, biography"
115,Middlesex,Jeffrey Eugenides,"fiction, book-club, historical-fiction, contemporary, pulitzer"
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye","classics, fiction, classic, adventure, young-adult"
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,"fantasy, young-adult, fiction, classics, science-fiction"
118,The Joy Luck Club,Amy Tan,"classics, china, fiction, contemporary, adult-fiction"
119,The Handmaid's Tale,Margaret Atwood,"fiction, classics, dystopia, dystopian, science-fiction"
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,"young-adult, ya, fiction, chick-lit, series"
121,Lolita,"Vladimir Nabokov, Craig Raine","literature, fiction, classics, novels, clàssics"
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith","series, adult, book-club, sci-fi-fantasy, adult-fiction"
123,"The Firm (Penguin Readers, Level 5)",John Grisham,"fiction, thriller, mystery, john-grisham, suspense"
124,Room,Emma Donoghue,"fiction, book-club, contemporary, adult, adult-fiction"
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson","classics, plays, fiction, shakespeare, drama"
126,Dune (Dune Chronicles #1),Frank Herbert,"science-fiction, sci-fi, fiction, fantasy, classics"
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"non-fiction, nonfiction, business, psychology, sociology"
128,Steve Jobs,Walter Isaacson,"biography, non-fiction, biographies, business, nonfiction"
129,One Flew Over the Cuckoo's Nest,Ken Kesey,"classics, fiction, classic, literature, psychology"
130,The Old Man and the Sea,Ernest Hemingway,"classics, fiction, classic, literature, novels"
131,The Grapes of Wrath,John Steinbeck,"classics, fiction, classic, historical-fiction, literature"
132,The Five People You Meet in Heaven,Mitch Albom,"spiritual, fiction, contemporary-fiction, rory-gilmore-reading-challenge, christian"
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"fiction, young-adult, classic, childrens, historical-fiction"
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"fantasy, young-adult, ya, paranormal, urban-fantasy"
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"fantasy, fiction, series, epic-fantasy, sci-fi-fantasy"
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"fiction, chick-lit, book-club, contemporary, adult-fiction"
137,"Outlander (Outlander, #1)",Diana Gabaldon,"historical-fiction, romance, fantasy, fiction, time-travel"
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym","school, literature, read-for-school, high-school, historical"
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,"fantasy, young-adult, fiction, ya, paranormal"
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland","fiction, mystery, thriller, crime, series"
141,The Martian,Andy Weir,"sci-fi, book-club, read-in-2015, adventure, audiobooks"
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,"historical-fiction, fiction, historical, history, book-club"
143,All the Light We Cannot See,Anthony Doerr,"historical-fiction, fiction, book-club, historical, war"
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,"non-fiction, history, biography, book-club, nonfiction"
145,Deception Point,Dan Brown,"fiction, thriller, mystery, dan-brown, suspense"
146,The Goldfinch,Donna Tartt,"fiction, book-club, contemporary, literary-fiction, read-in-2014"
147,Thirteen Reasons Why,Jay Asher,"ya, realistic-fiction, young-adult, suicide, teen"
148,Girl with a Pearl Earring,Tracy Chevalier,"historical-fiction, fiction, historical, art, classics"
149,"If I Stay (If I Stay, #1)",Gayle Forman,"young-adult, ya, romance, contemporary, fiction"
150,The Red Tent,Anita Diamant,"historical-fiction, history, fiction, christian, literature"
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"fantasy, young-adult, mythology, percy-jackson, ya"
152,Dear John,Nicholas Sparks,"romance, nicholas-sparks, fiction, chick-lit, contemporary"
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"fantasy, young-adult, ya, paranormal, romance"
154,Macbeth,William Shakespeare,"plays, fiction, classic, school, play"
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"fantasy, classics, fiction, adventure, tolkien"
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,"chick-lit, romance, fiction, contemporary, series"
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור","childrens, children, children-s-books, picture-books, children-s"
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake","fiction, children, childhood, children-s-books, young-adult"
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"fantasy, young-adult, mythology, percy-jackson, rick-riordan"
160,Great Expectations,Charles Dickens,"classics, fiction, classic, literature, historical-fiction"
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"fantasy, fiction, classics, tolkien, adventure"
162,The Stranger,"Albert Camus, Matthew    Ward","classics, fiction, philosophy, french, literature"
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"fantasy, young-adult, mythology, middle-grade, ya"
164,Eleanor & Park,Rainbow Rowell,"young-adult, ya, romance, contemporary, fiction"
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"fantasy, fiction, series, epic-fantasy, a-song-of-ice-and-fire"
166,"Matched (Matched, #1)",Ally Condie,"young-adult, dystopian, dystopia, ya, romance"
167,"American Gods (American Gods, #1)",Neil Gaiman,"fantasy, fiction, urban-fantasy, mythology, sci-fi-fantasy"
168,The Stand,"Stephen King, Bernie Wrightson","horror, fiction, stephen-king, fantasy, science-fiction"
169,The Last Song,Nicholas Sparks,"romance, nicholas-sparks, fiction, chick-lit, young-adult"
170,Digital Fortress,Dan Brown,"fiction, thriller, mystery, dan-brown, suspense"
171,Emma,"Jane Austen, Fiona Stafford","classics, fiction, romance, classic, jane-austen"
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude","classics, fiction, classic, russian, romance"
173,A Clockwork Orange,Anthony Burgess,"sci-fi, dystopian, classic, literature, classics"
174,The Shack,William Paul Young,"fiction, christian, christian-fiction, book-club, religion"
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"fantasy, young-adult, mythology, percy-jackson, rick-riordan"
176,It,Stephen King,"horror, stephen-king, fiction, fantasy, thriller"
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff","fiction, classic, russian, literature, russian-literature"
178,The Bell Jar,Sylvia Plath,"classics, fiction, feminism, literary-fiction, contemporary"
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"non-fiction, memoir, biography, nonfiction, fiction"
180,Siddhartha,"Hermann Hesse, Hilda Rosner","classics, fiction, philosophy, religion, literature"
181,In Cold Blood,Truman Capote,"non-fiction, classics, nonfiction, true-crime, crime"
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl","young-adult, fantasy, ya, paranormal, romance"
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"fantasy, young-adult, ya, paranormal, steampunk"
184,Matilda,"Roald Dahl, Quentin Blake","young-adult, childrens-books, childhood-favorites, ya, childhood-books"
185,The Night Circus,Erin Morgenstern,"fantasy, fiction, ｆａｖｏｒｉｔｅｓ, book-club, romance"
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"historical-fiction, fiction, historical, romance, book-club"
187,"Uglies (Uglies, #1)",Scott Westerfeld,"young-adult, dystopian, ya, dystopia, science-fiction"
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"fantasy, fiction, series, epic-fantasy, a-song-of-ice-and-fire"
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,"fantasy, classics, fiction, favourites, classic"
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"non-fiction, memoir, book-club, nonfiction, travel"
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins","graphic-novels, graphic-novel, fiction, cómics, còmics"
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"fantasy, fiction, epic-fantasy, favourites, series"
193,Outliers: The Story of Success,Malcolm Gladwell,"nonfiction, psychology, non-fiction, book-club, economics"
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk","classics, fiction, classic, literature, adventure"
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows","historical-fiction, fiction, book-club, historical, bookclub"
196,Fight Club,Chuck Palahniuk,"fiction, contemporary, classics, thriller, favourites"
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"fantasy, vampires, paranormal, urban-fantasy, romance"
198,The Color Purple,Alice Walker,"fiction, historical-fiction, our-shared-shelf, lgbt, classic"
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,"non-fiction, nonfiction, memoir, animals, dogs"
200,And Then There Were None,Agatha Christie,"mystery, classics, fiction, crime, agatha-christie"
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,"fiction, mystery, thriller, dan-brown, suspense"
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"young-adult, fantasy, angels, paranormal, romance"
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"romance, new-adult, contemporary, young-adult, romancé"
204,A Christmas Carol,Charles Dickens,"classics, fiction, classic, christmas, fantasy"
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"fantasy, horror, fiction, vampire, vampires"
206,"The Selection (The Selection, #1)",Kiera Cass,"young-adult, romance, dystopian, dystopia, fantasy"
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"mystery, fiction, janet-evanovich, chick-lit, humor"
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"non-fiction, nonfiction, science, book-club, biography"
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,"horror, fiction, thriller, mystery, crime"
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"read-in-2014, teen, favorite-series, read-in-2013, favorite-books"
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"non-fiction, psychology, nonfiction, business, science"
212,Atonement,Ian McEwan,"historical-fiction, romance, classics, fiction, historical"
213,The Metamorphosis,"Franz Kafka, Stanley Corngold","classics, fiction, classic, fantasy, literature"
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"fantasy, young-adult, mythology, percy-jackson, ya"
215,Ready Player One,Ernest Cline,"science-fiction, sci-fi, fiction, dystopia, young-adult"
216,The Art of Racing in the Rain,Garth Stein,"fiction, book-club, animals, dogs, contemporary"
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn","non-fiction, history, nonfiction, true-crime, book-club"
218,"Bared to You (Crossfire, #1)",Sylvia Day,"romance, erotica, series, contemporary, adult"
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes","children-s, childhood, children-s-books, sci-fi-fantasy, christian-fiction"
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,"vampires, young-adult, fantasy, twilight, paranormal"
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,"nonfiction, memoir, non-fiction, memoirs, psychology"
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"fiction, thriller, mystery, suspense, espionage"
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"fantasy, young-adult, fiction, ya, series"
224,"Fallen (Fallen, #1)",Lauren Kate,"young-adult, fantasy, angels, romance, ya"
225,East of Eden,John Steinbeck,"classics, fiction, classic, historical-fiction, literature"
226,Dark Places,Gillian Flynn,"mystery, fiction, thriller, crime, mystery-thriller"
227,The Client,John Grisham,"fiction, john-grisham, mystery, thriller, suspense"
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus","chick-lit, fiction, chicklit, contemporary, humor"
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner","classics, fantasy, fiction, childrens, classic"
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch","classics, fiction, romance, classic, jane-austen"
231,Sarah's Key,Tatiana de Rosnay,"historical-fiction, fiction, book-club, holocaust, historical"
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,"fantasy, fiction, stephen-king, horror, science-fiction"
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman","historical-fiction, novels, classic, latin-america, 1001-books"
234,Speak,Laurie Halse Anderson,"young-adult, ya, fiction, contemporary, realistic-fiction"
235,The Husband's Secret,Liane Moriarty,"book-club, mystery, adult, audiobooks, adult-fiction"
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,"non-fiction, nonfiction, adventure, memoir, travel"
237,Carrie,Stephen King,"horror, fiction, stephen-king, paranormal, fantasy"
238,Running with Scissors,Augusten Burroughs,"memoir, non-fiction, memoirs, nonfiction, biography"
239,World War Z: An Oral History of the Zombie War,Max Brooks,"horror, fiction, zombies, science-fiction, sci-fi"
240,"Inferno (Robert Langdon, #4)",Dan Brown,"fiction, mystery, thriller, dan-brown, historical-fiction"
241,Number the Stars,Lois Lowry,"fiction, historical-fiction, classics, childrens, historical"
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,"mystery, james-patterson, fiction, thriller, crime"
243,Misery,Stephen King,"horror, stephen-king, fiction, thriller, king"
244,Sharp Objects,Gillian Flynn,"mystery, fiction, thriller, crime, mystery-thriller"
245,Bridge to Terabithia,Katherine Paterson,"young-adult, fiction, childrens, fantasy, classics"
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast","young-adult, vampires, fantasy, paranormal, ya"
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"non-fiction, self-help, business, self-improvement, personal-development"
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey","classics, plays, shakespeare, fiction, drama"
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,"fiction, book-club, contemporary, historical-fiction, favourites"
250,Wonder,R.J. Palacio,"young-adult, fiction, realistic-fiction, ya, middle-grade"
251,The Cat in the Hat,Dr. Seuss,"children, children-s-books, picture-books, children-s, fiction"
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"young-adult, fantasy, sci-fi, ya, science-fiction"
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling","mystery, fiction, crime, book-club, thriller"
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"ya, romance, fiction, supernatural, urban-fantasy"
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff","fiction, classics, philosophy, classic, literature"
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin","non-fiction, nonfiction, book-club, memoir, biography"
257,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke","classics, fantasy, fiction, childrens, classic"
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves","fiction, historical-fiction, mystery, book-club, fantasy"
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,"young-adult, dystopian, dystopia, ya, science-fiction"
260,How to Win Friends and Influence People,Dale Carnegie,"non-fiction, self-improvement, nonfiction, personal-development, leadership"
261,Under the Tuscan Sun,Frances Mayes,"travel, non-fiction, memoir, fiction, nonfiction"
